ncbi,genome,description,gid,ncbi_taxonomy
35,gn:T01558,"mfu, 35; Corallococcus macrosporus HW-1 (Myxococcus fulvus HW-1)",mfu,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus macrosporus
198119,gn:T06922,"pbac, 198119; Paenibacillus barcinonensis KACC11450",pbac,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus barcinonensis
198214,gn:T00097,"sfl, SHIFL, 198214; Shigella flexneri 301 (serotype 2a)",sfl,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri
198215,gn:T00128,"sfx, SHIFL, 198215; Shigella flexneri 2457T (serotype 2a)",sfx,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri
198466,gn:T00089,"spg, STRP3, 198466; Streptococcus pyogenes MGAS315 (serotype M3)",spg,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes
198467,gn:T04000,"agn, 198467; Anoxybacillus gonensis G2",agn,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__Anoxybacillus gonensis
198618,gn:T06842,"pum, 198618; Pseudomonas umsongensis CY-1",pum,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas umsongensis
198620,gn:T04647,"pkr, 198620; Pseudomonas koreensis D26",pkr,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas koreensis
198628,gn:T01305,"ddd, 198628; Dickeya dadantii 3937",ddd,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya dadantii
198804,gn:T00087,"bas, BUCAP, 198804; Buchnera aphidicola Sg, endosymbiont of Schizaphis graminum (greenbug)",bas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Buchnera;s__Buchnera aphidicola
199310,gn:T00106,"ecc, ECOLX, 199310; Escherichia coli O6:K2:H1 CFT073 (UPEC)",ecc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
199441,gn:T04947,"bkw, 199441; Alkalihalobacillus krulwichiae AM31D",bkw,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus krulwichiae
199591,gn:T06487,"blut, 199591; Brevibacterium luteolum NEB1784",blut,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium luteolum
200450,gn:T04006,"ptv, 200450; Pseudomonas trivialis IHBB745",ptv,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas trivialis
200991,gn:T04201,"prt, 200991; Planococcus rifietoensis M8",prt,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus;s__Planococcus rifietoensis
202462,gn:T04456,"mbp, 202462; Maize bushy stunt phytoplasma M3",mbp,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Candidatus Phytoplasma;s__
202751,gn:T03400,"lii, 202751; Listeria ivanovii subsp. ivanovii WSLC 3010",lii,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria ivanovii
202752,gn:T03401,"lia, 202752; Listeria ivanovii subsp. londoniensis WSLC 30167",lia,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria ivanovii
202752,gn:T03402,"lio, 202752; Listeria ivanovii subsp. londoniensis WSLC 30151",lio,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria ivanovii
202947,gn:T03501,"aeu, 202947; Actinobacillus equuli subsp. equuli 19392",aeu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus;s__Actinobacillus equuli
202954,gn:T06790,"atn, 202954; Acinetobacter tandoii SE63",atn,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter tandoii
203119,gn:T00474,"cth, CLOTH, 203119; Hungateiclostridium thermocellum ATCC 27405 (Clostridium thermocellum ATCC 27405)",cth,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Hungateiclostridiaceae;g__Hungateiclostridium;s__Hungateiclostridium thermocellum
203120,gn:T00411,"lme, LEUMM, 203120; Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293",lme,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
203122,gn:T00335,"sde, SACD2, 203122; Saccharophagus degradans 2-40",sde,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Saccharophagus;s__Saccharophagus degradans
203123,gn:T00408,"ooe, OENOB, 203123; Oenococcus oeni PSU-1",ooe,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Oenococcus;s__Oenococcus oeni
203124,gn:T00387,"ter, TRIEI, 203124; Trichodesmium erythraeum IMS101",ter,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Microcoleaceae;g__Trichodesmium;s__Trichodesmium erythraeum
203267,gn:T00116,"twh, TROWT, 203267; Tropheryma whipplei Twist",twh,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__Tropheryma;s__Tropheryma whipplei
203275,gn:T01682,"tfo, 203275; Tannerella forsythia 92A2",tfo,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella;s__Tannerella forsythia
203907,gn:T00138,"bfl, BLOFL, 203907; Candidatus Blochmannia floridanus, endosymbiont of Camponotus floridanus (Florida carpenter ant)",bfl,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Candidatus Blochmannia;s__Candidatus Blochmannia floridanus
204536,gn:T00876,"saf, SULAA, 204536; Sulfurihydrogenibium azorense Az-Fu1",saf,d__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales;f__Hydrogenothermaceae;g__Sulfurihydrogenibium;s__Sulfurihydrogenibium azorense
204669,gn:T00352,"aba, ACIBL, 204669; Candidatus Koribacter versatilis Ellin345",aba,d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Candidatus Koribacter;s__Candidatus Koribacter versatilis
204722,gn:T00096,"bms, BRUSU, 204722; Brucella suis 1330",bms,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Brucella;s__Brucella suis
204722,gn:T02103,"bsi, 204722; Brucella suis 1330",bsi,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Brucella;s__Brucella suis
204773,gn:T00490,"har, HERAR, 204773; Herminiimonas arsenicoxydans",har,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herminiimonas;s__Herminiimonas arsenicoxydans
205913,gn:T00707,"blj, BIFLD, 205913; Bifidobacterium longum DJO10A",blj,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum
205914,gn:T00386,"hso, HAES1, 205914; Histophilus somni 129PT (Haemophilus somnus 129PT)",hso,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Histophilus;s__Histophilus somni
205918,gn:T00246,"psb, PSEU2, 205918; Pseudomonas syringae pv. syringae B728a",psb,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae
205920,gn:T00328,"ech, EHRCR, 205920; Ehrlichia chaffeensis Arkansas",ech,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Ehrlichia;s__Ehrlichia chaffeensis
205921,gn:T00278,"sak, STRA1, 205921; Streptococcus agalactiae A909 (serotype Ia)",sak,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae
205922,gn:T00283,"pfo, PSEPF, 205922; Pseudomonas fluorescens Pf0-1",pfo,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens
206403,gn:T03877,"slh, 206403; Sulfurovum lithotrophicum ATCC BAA-797",slh,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__Sulfurovum lithotrophicum
206506,gn:T05924,"kgy, 206506; Kerstersia gyiorum SWMUKG01",kgy,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Kerstersia;s__Kerstersia gyiorum
206672,gn:T00094,"blo, BIFLO, 206672; Bifidobacterium longum NCC2705",blo,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum
207340,gn:T06208,"rmuc, 207340; Roseomonas mucosa FDAARGOS_658",rmuc,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__Roseomonas mucosa
207559,gn:T00294,"dde, DESDG, 207559; Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20)",dde,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio alaskensis
207949,gn:T06527,"bmar, 207949; Bermanella marisrubri RED65",bmar,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Bermanella;s__Bermanella marisrubri
208224,gn:T02315,"eno, 208224; Enterobacter kobei ENHKU01 (Enterobacter cloacae subsp. cloacae ENHKU01)",eno,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei
208224,gn:T04686,"ekb, 208224; Enterobacter kobei DSM 13645",ekb,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei
208435,gn:T00091,"sag, STRA5, 208435; Streptococcus agalactiae 2603 (serotype V)",sag,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae
208439,gn:T03225,"aja, 208439; Amycolatopsis japonica MG417-CF17",aja,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis japonica
208479,gn:T05466,"cbol, 208479; Enterocloster bolteae ATCC BAA-613",cbol,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae
208596,gn:T01452,"crn, 208596; Carnobacterium sp. 17-4",crn,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__
208963,gn:T00401,"pau, PSEAB, 208963; Pseudomonas aeruginosa UCBPP-PA14",pau,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa
208964,gn:T00035,"pae, PSEAE, 208964; Pseudomonas aeruginosa PAO1",pae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa
209261,gn:T00121,"stt, SALTI, 209261; Salmonella enterica subsp. enterica serovar Typhi Ty2",stt,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica
210007,gn:T00100,"smu, STRMU, 210007; Streptococcus mutans UA159 (serotype c)",smu,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans
211110,gn:T00104,"san, STRA3, 211110; Streptococcus agalactiae NEM316 (serotype III)",san,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae
211586,gn:T00099,"son, SHEON, 211586; Shewanella oneidensis MR-1",son,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanella oneidensis
212042,gn:T00327,"aph, ANAPZ, 212042; Anaplasma phagocytophilum HZ",aph,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Anaplasma;s__Anaplasma phagocytophilum
212717,gn:T00112,"ctc, CLOTE, 212717; Clostridium tetani E88",ctc,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani
212765,gn:T06841,"mmag, 212765; Mycolicibacterium madagascariense JCM 13574",mmag,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium madagascariense
212767,gn:T02423,"msa, 212767; Mycobacterium sp. JS623",msa,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
213419,gn:T07057,"gza, 213419; Geobacillus zalihae SURF-189",gza,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus zalihae
213554,gn:T03198,"hcs, 213554; Halomonas campaniensis LS21",hcs,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;s__Halomonas campaniensis
213585,gn:T04532,"mmj, 213585; Methanosarcina mazei S-6",mmj,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
213615,gn:T06032,"mvz, 213615; Microcystis viridis NIES-102",mvz,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis viridis
213810,gn:T02600,"rch, 213810; Ruminococcus champanellensis 18P13",rch,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus champanellensis
214092,gn:T00063,"ype, YERPE, 214092; Yersinia pestis CO92 (biovar Orientalis)",ype,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pestis
214473,gn:T05272,"snl, 214473; Staphylococcus nepalensis JS1",snl,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis
214888,gn:T05209,"elj, 214888; Entomoplasma luminosum PIMN-1",elj,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Entomoplasmataceae;g__Entomoplasma;s__Entomoplasma luminosum
215221,gn:T06497,"kre, 215221; Komagataeibacter rhaeticus ENS 9a1a",kre,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter rhaeticus
215578,gn:T05210,"esx, 215578; Entomoplasma somnilux PYAN-1",esx,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Entomoplasmataceae;g__Entomoplasma;s__Entomoplasma somnilux
215580,gn:T06911,"sthm, 215580; Schlegelella thermodepolymerans DSM 15344",sthm,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Schlegelella;s__Schlegelella thermodepolymerans
215689,gn:T01935,"erj, ERWSE, 215689; Erwinia sp. Ejp617",erj,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__
215691,gn:T06816,"tbv, 215691; Thermomonas brevis KACC 16975",tbv,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__Thermomonas brevis
215743,gn:T04779,"rmm, 215743; Roseovarius mucosus SMR3",rmm,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius mucosus
216142,gn:T03339,"prh, 216142; Pseudomonas rhizosphaerae DSM 16299",prh,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas rhizosphaerae
216389,gn:T00518,"deb, DEHSB, 216389; Dehalococcoides mccartyi BAV1",deb,d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides mccartyi
216427,gn:T05062,"mchc, 216427; Mesoplasma chauliocola CHPA-2",mchc,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Entomoplasmataceae;g__Mesoplasma;s__Mesoplasma chauliocola
216432,gn:T01256,"cat, 216432; Croceibacter atlanticus HTCC2559",cat,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus
216591,gn:T00771,"bcj, BURCJ, 216591; Burkholderia cenocepacia J2315",bcj,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia
216592,gn:T02067,"elo, 216592; Escherichia coli O44:H18 042 (EAEC)",elo,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
216594,gn:T00694,"mmi, MYCMM, 216594; Mycobacterium marinum M",mmi,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium marinum
216595,gn:T00899,"pfs, PSEFS, 216595; Pseudomonas fluorescens SBW25",pfs,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens
216596,gn:T00402,"rle, RHIL3, 216596; Rhizobium leguminosarum bv. viciae 3841",rle,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum
216597,gn:T01724,"sey, 216597; Salmonella enterica subsp. enterica serovar Typhimurium SL1344",sey,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica
216778,gn:T04500,"srh, 216778; Stenotrophomonas rhizophila QL-P4",srh,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas rhizophila
216816,gn:T03387,"blx, 216816; Bifidobacterium longum BXY01",blx,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum
216895,gn:T00108,"vvu, VIBVU, 216895; Vibrio vulnificus CMCP6",vvu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio vulnificus
216929,gn:T07008,"mpsc, 216929; Mycolicibacterium psychrotolerans JCM 13323",mpsc,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium psychrotolerans
216931,gn:T06597,"salx, 216931; Spiroplasma alleghenense PLHS-1",salx,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma alleghenense
216932,gn:T06905,"schi, 216932; Spiroplasma chinense CCH",schi,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma chinense
216934,gn:T05302,"scou, 216934; Spiroplasma corruscae EC-1",scou,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma corruscae
216938,gn:T04620,"shj, 216938; Spiroplasma helicoides TABS-2",shj,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma helicoides
216942,gn:T04047,"sll, 216942; Spiroplasma litorale TN-1",sll,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma litorale
216946,gn:T04034,"stur, 216946; Spiroplasma turonicum Tab4c",stur,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma turonicum
217070,gn:T06335,"svc, 217070; Stella vacuolata ATCC 43931",svc,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Stella;s__Stella vacuolata
217203,gn:T05274,"asw, 217203; Achromobacter spanius DSM 23806",asw,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter spanius
217204,gn:T04671,"ais, 217204; Achromobacter insolitus DSM 23807",ais,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter insolitus
218144,gn:T06797,"vcp, 218144; Vagococcus carniphilus ATCC BAA-640",vcp,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus;s__Vagococcus carniphilus
218208,gn:T00813,"dal, DESAA, 218208; Desulfatibacillum aliphaticivorans AK-01 (Desulfatibacillum alkenivorans AK-01)",dal,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfatibacillum;s__Desulfatibacillum aliphaticivorans
218491,gn:T00186,"eca, ERWCT, 218491; Pectobacterium atrosepticum SCRI1043",eca,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium atrosepticum
218493,gn:T01579,"sbg, 218493; Salmonella bongori NCTC 12419",sbg,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella bongori
218494,gn:T00936,"ssi, STRSU, 218494; Streptococcus suis P1/7 (serotype 2)",ssi,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis
218495,gn:T00849,"sub, STRUB, 218495; Streptococcus uberis 0140J",sub,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus uberis
218496,gn:T00117,"tws, TROW8, 218496; Tropheryma whipplei TW08/27",tws,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__Tropheryma;s__Tropheryma whipplei
218497,gn:T00242,"cab, CHLAB, 218497; Chlamydia abortus S26/3 (Chlamydophila abortus S26/3)",cab,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia abortus
